Kernel Interface table
Iface      MTU    RX-OK RX-ERR RX-DRP RX-OVR    TX-OK TX-ERR TX-DRP TX-OVR Flg
s1-eth46  1500   259166      0      0 0        249556      0      0      0 BMRU
s1-eth47  1500   261524      0      0 0        252765      0      0      0 BMRU
s1-eth48  1500   271513      0      0 0        262373      0      0      0 BMRU
s1-eth49  1500   252821      0      0 0        247191      0      0      0 BMRU
s1-eth50  1500   259015      0      0 0        251139      0      0      0 BMRU
s1-eth51  1500   275692      0      0 0        264751      0      0      0 BMRU
s1-eth52  1500   257469      0      0 0        250249      0      0      0 BMRU
s1-eth53  1500   259128      0      0 0        249780      0      0      0 BMRU
s1-eth54  1500   267045      0      0 0        258965      0      0      0 BMRU
s1-eth55  1500   260767      0      0 0        250697      0      0      0 BMRU
s1-eth56  1500   260052      0      0 0        254401      0      0      0 BMRU
s1-eth57  1500   250082      0      0 0        242215      0      0      0 BMRU
s1-eth58  1500   255149      0      0 0        249486      0      0      0 BMRU
s1-eth59  1500   247436      0      0 0        240391      0      0      0 BMRU
s1-eth60  1500   256281      0      0 0        247933      0      0      0 BMRU
s1-eth61  1500   257590      0      0 0        249611      0      0      0 BMRU
s1-eth62  1500   253756      0      0 0        246777      0      0      0 BMRU
s1-eth63  1500   261698      0      0 0        253653      0      0      0 BMRU
s1-eth64  1500   260329      0      0 0        252563      0      0      0 BMRU
s1-eth65  1500   256101      0      0 0        248316      0      0      0 BMRU
s1-eth66  1500   247779      0      0 0        240660      0      0      0 BMRU
s1-eth67  1500   265253      0      0 0        257726      0      0      0 BMRU
s1-eth68  1500   249343      0      0 0        241371      0      0      0 BMRU
s1-eth69  1500   264730      0      0 0        257439      0      0      0 BMRU
s1-eth70  1500   256754      0      0 0        250693      0      0      0 BMRU
s1-eth71  1500   261563      0      0 0        253920      0      0      0 BMRU
s1-eth72  1500   252452      0      0 0        243222      0      0      0 BMRU
s1-eth73  1500   254879      0      0 0        246178      0      0      0 BMRU
s1-eth74  1500   265428      0      0 0        258548      0      0      0 BMRU
s1-eth75  1500   258132      0      0 0        249694      0      0      0 BMRU
s1-eth76  1500   263761      0      0 0        256068      0      0      0 BMRU
s1-eth77  1500   279698      0      0 0        271031      0      0      0 BMRU
s1-eth78  1500   255950      0      0 0        248610      0      0      0 BMRU
s1-eth79  1500   261130      0      0 0        252814      0      0      0 BMRU
s1-eth80  1500   257561      0      0 0        249641      0      0      0 BMRU
s1-eth81  1500   262901      0      0 0        253055      0      0      0 BMRU
s1-eth82  1500   267070      0      0 0        259357      0      0      0 BMRU
s1-eth83  1500   256966      0      0 0        249758      0      0      0 BMRU
s1-eth84  1500   265586      0      0 0        257968      0      0      0 BMRU
s1-eth85  1500   254404      0      0 0        245050      0      0      0 BMRU
s1-eth86  1500   264785      0      0 0        256290      0      0      0 BMRU
s1-eth87  1500   267752      0      0 0        259935      0      0      0 BMRU
s1-eth88  1500   262013      0      0 0        254586      0      0      0 BMRU
s1-eth89  1500   262866      0      0 0        254398      0      0      0 BMRU
s1-eth90  1500   252850      0      0 0        244774      0      0      0 BMRU
s1-eth91  1500   274170      0      0 0        265657      0      0      0 BMRU
s1-eth92  1500   262825      0      0 0        255245      0      0      0 BMRU
s1-eth93  1500   253689      0      0 0        246620      0      0      0 BMRU
s1-eth94  1500   261147      0      0 0        254122      0      0      0 BMRU
s1-eth95  1500   235383      0      0 0        228715      0      0      0 BMRU
s1-eth96  1500   270363      0      0 0        263392      0      0      0 BMRU
s1-eth97  1500   260819      0      0 0        252943      0      0      0 BMRU
s1-eth98  1500   284877      0      0 0        276278      0      0      0 BMRU
